SR         obs  bkg   bkg_err  S95_obs  S95_exp  
SRb1       19   16.9  3.3      12.6     11.3     
SRb2-bin1  88   77    13       38       31       
SRb2-bin2  88   72    11       40       29       
SRb2-bin3  90   76    13       41       31       
SRb2-bin4  82   66.4  9.1      38.2     25.7     
SRt1       23   20.5  5.8      16.3     14.7     
SRt2       24   20.4  2.9      14.7     11.7     
SRt3       18   15.2  4.3      14.3     12.5     
